Titre,Note,Prix,Moniteur_Taille_ecran_(pouces),Moniteur_Equivalence_(cm),Moniteur_Resolution_ecran_(pixels),Logiciels_Systeme_exploitation,Logiciels_Version_(Bits),Processeur_Reference,Memoire_vive_Capacite_totale_(Go),Memoire_vive_Type,Stockage_Capacite_disque_dur_(Go),Stockage_Port_disque_dur,Stockage_Vitesse_rotation(tours/min),Stockage_Capacite_SSD_(Go),Stockage_Port_SSD,Dimensions_l_x_h_x_p_(cm),Dimensions_Poids_(g),Carte_video
PC Hybride Microsoft Surface Pro 6 i7 8 256 Platine,,1669.0,12.3,31.2,2736 x 1824,Windows 10,64.0,Intel Core i7-8650U,8.0,LPDDR3,,,,256.0,,29.2 x 0.8 x 20.1,770.0,
Ordinateur portable MSI P65 Creator 8SE-248FR,,2349.0,15.6,39.6,1920 x 1080,Windows 10 Famille,64.0,Intel Core i7-8750H,16.0,DDR4,,,,512.0,NvMe PCI Express,24.77 x 35.77 x 1.79,1900.0,NVIDIA GeForce RTX2060 avec 6 Go
Ordinateur portable MSI PS63 Modern 8RC-025FR,,1549.0,15.6,39.6,1920 x 1080,Windows 10 Famille,64.0,Intel Core i7 8565U,16.0,DDR4,,,,512.0,NvMe PCI Express,23.37 x 35.68 x 1.59,1600.0,NVIDIA GeForce GTX1050 avec 4 Go DDR5
Ordinateur portable Asus Zenbook Flip UX362FA-EL240T Numpad,,1399.0,13.3,33.8,1920 x 1080,Windows 10,64.0,Intel Core i7-8565U,16.0,DDR4,,,,512.0,PCI Express,1.69 x 30.5 x 1.96,1300.0,
Ordinateur portable Huawei Matebook 13'' Touch,,1299.0,13.0,33.0,2160 x 1440,Windows 10,64.0,Intel Core i7 8ème génération,8.0,DDR4,,,,512.0,,28.6 x 1.49 x 21.1,1300.0,
PC Gamer Lenovo Legion Y740-15ICHg-956,,2199.0,15.6,39.6,1920 x 1080,Windows 10,64.0,Intel Core i7 8750H,16.0,DDR4,1000.0,,,256.0,,26.7 x 36.14 x 2.24,2200.0,NVIDIA GeForce RTX 2060 6Go
PC Gamer Lenovo Legion Y740-15ICHg-021,,2499.0,15.6,39.6,1920 x 1080,Windows 10,64.0,Intel Core i7 8750H,16.0,DDR4,1000.0,,,256.0,,26.7 x 36.14 x 2.24,2200.0,NVIDIA GeForce RTX2070 avec 8 Go
Ordinateur portable Acer Swift SF515-51T-7806,,1499.0,15.6,39.6,1920 x 1080,Windows 10,64.0,Intel Core i7-8565U,16.0,DDR4,,,,512.0,,6.5 x 49.8 x 31,990.0,
Ordinateur portable Asus Vivobook Pro N705FD-GC042T,5.0,1109.0,17.0,43.2,1920 x 1080,Windows 10,64.0,Intel Core i7-8565U,8.0,DDR4,1000.0,S-ATA,5400.0,256.0,SATA,2.95 x 41.1 x 27,2600.0,NVIDIA GeForce GTX1050 avec 2 Go
PC Gamer HP OMEN 15-dc0002nf 144hz,,1799.0,15.6,39.6,1920 x 1080,Windows 10,64.0,Intel Core i7-8750H,16.0,DDR4 SDRAM,1000.0,S-ATA,7200.0,256.0,PCI Express,26.3 x 2.5 x 36,2500.0,NVIDIA GeForce GTX1070 avec 8Go GDDR5
